Block ID,X Center,Y Center,Z Center,X Size,Y Size,Z Size,Category,CYB5A,SOD1,CA2,RBP4,ALB,TF,CAT
158,446,380.5,122.5,50,53,35,True,-0.312222,,0.371277,,0.310383,,-0.226179
32,446,433.5,17.5,50,53,35,True,-2.0438,,-1.30779,-1.11176,1.06687,,-0.608931
77,446,433.5,52.5,50,53,35,True,-1.92636,,-1.40756,0.000310401,0.41968,,-1.43682
122,446,433.5,87.5,50,53,35,True,-1.73204,,-1.76066,0.528981,-0.827028,,-1.87769
167,446,433.5,122.5,50,53,35,False,-0.54793,,0.967222,,0.974113,,0.854067
41,446,486.5,17.5,50,53,35,True,-0.894192,,0.164624,-0.0828327,0.400391,,-0.258513
86,446,486.5,52.5,50,53,35,True,-0.444433,,0.223621,-1.15273,0.973143,,-0.24312
131,446,486.5,87.5,50,53,35,False,0.525842,,-0.193533,1.13147,0.767341,,-1.12143
176,446,486.5,122.5,50,53,35,False,0.403204,,0.723251,,-1.12717,,0.317679
6,496,274.5,17.5,50,53,35,True,-1.41865,0.080413,-1.08065,0.523297,-1.5058,-0.93333,-0.827925
51,496,274.5,52.5,50,53,35,True,0.368624,,0.148347,-0.581492,-0.879213,0.58187,-0.13165
96,496,274.5,87.5,50,53,35,False,0.426809,,0.978164,,0.0511299,,0.14706
141,496,274.5,122.5,50,53,35,True,-0.310714,,0.417564,,0.413262,,0.786829
15,496,327.5,17.5,50,53,35,True,-1.72992,,-1.84049,0.64562,-0.308431,,-1.17939
60,496,327.5,52.5,50,53,35,True,-1.69349,,-1.19146,-0.285598,0.372738,-0.029052,-1.17727
105,496,327.5,87.5,50,53,35,True,-1.88085,,-1.26547,0.303176,-1.76575,,-2.18665
150,496,327.5,122.5,50,53,35,True,-1.86077,-0.080413,0.143359,-0.828053,-0.119988,,-0.509581
24,496,380.5,17.5,50,53,35,True,-1.66058,,-2.87976,0.0173552,-1.59963,,-1.89497
69,496,380.5,52.5,50,53,35,True,-1.76278,,-2.52122,,0.117661,,-1.07225
114,496,380.5,87.5,50,53,35,True,-1.89354,,-2.38809,0.517145,-0.967933,,-2.07406
159,496,380.5,122.5,50,53,35,True,-1.8819,1.46514,0.0506235,-1.37181,-0.524079,,-1.57891
33,496,433.5,17.5,50,53,35,True,-1.74213,,-1.47971,0.341794,1.02665,,-0.890701
78,496,433.5,52.5,50,53,35,True,-1.86069,,-1.70894,0.526406,0.789137,,-2.08024
123,496,433.5,87.5,50,53,35,True,-1.89692,,-1.50339,0.820932,-0.565692,,-1.88283
168,496,433.5,122.5,50,53,35,True,-0.240245,,0.257295,,0.48759,,0.694145
42,496,486.5,17.5,50,53,35,True,-1.39128,,0.478278,-0.625577,0.268106,,-0.920865
87,496,486.5,52.5,50,53,35,True,-0.805421,,-0.467891,-0.210027,0.903853,,-0.596534
132,496,486.5,87.5,50,53,35,True,0.386316,,0.102903,,0.0280846,,0.0559823
177,496,486.5,122.5,50,53,35,False,0.0,,0.725287,,0.45786,,-0.0357347
7,546,274.5,17.5,50,53,35,True,0.27477,,-0.654617,-0.730239,-0.635169,-0.483205,-0.814965
52,546,274.5,52.5,50,53,35,True,0.5267,,0.0620358,,-0.42675,1.19659,0.249342
97,546,274.5,87.5,50,53,35,False,0.473848,,0.196068,,1.705,,1.16701
142,546,274.5,122.5,50,53,35,False,0.056978,,0.653015,,0.00356377,,-0.116252
16,546,327.5,17.5,50,53,35,True,-1.68598,,-1.75174,0.598634,-2.37296,,-1.04047
61,546,327.5,52.5,50,53,35,True,-0.98322,,-0.393805,-1.41643,-0.946346,,-1.66508
106,546,327.5,87.5,50,53,35,True,-1.00712,,-0.0506353,0.56237,0.0910408,,-1.1614
151,546,327.5,122.5,50,53,35,True,-0.753604,,0.598992,-0.886655,0.163514,,-0.191672
25,546,380.5,17.5,50,53,35,True,-1.99145,,-2.24388,2.63292,-2.86227,,-1.94588
70,546,380.5,52.5,50,53,35,True,-1.92799,,-1.50205,-0.0782091,-1.60231,,-1.97469
