Block ID,X Center,Y Center,Z Center,X Size,Y Size,Z Size,Category,CYB5A,SOD1,CA2,RBP4,ALB,TF,CAT
47,320.999,300.999,69.999,50,53,35,False,-0.0948196,,0.289959,,1.00086,,0.527779
92,271.0,248.0,70.0,50,53,35,False,,,,,,,
92,320.999,248.0,70.0,50,53,35,False,,,,,,,
92,271.0,300.999,70.0,50,53,35,False,,,,,,,
92,320.999,300.999,70.0,50,53,35,False,,,,,,,
92,271.0,248.0,104.999,50,53,35,False,,,,,,,
92,320.999,248.0,104.999,50,53,35,False,,,,,,,
92,271.0,300.999,104.999,50,53,35,False,,,,,,,
92,320.999,300.999,104.999,50,53,35,False,,,,,,,
137,271.0,248.0,105.0,50,53,35,False,0.368367,,0.0805061,,-0.110636,,0.0888148
137,320.999,248.0,105.0,50,53,35,False,0.368367,,0.0805061,,-0.110636,,0.0888148
137,271.0,300.999,105.0,50,53,35,False,0.368367,,0.0805061,,-0.110636,,0.0888148
137,320.999,300.999,105.0,50,53,35,False,0.368367,,0.0805061,,-0.110636,,0.0888148
137,271.0,248.0,139.999,50,53,35,False,0.368367,,0.0805061,,-0.110636,,0.0888148
137,320.999,248.0,139.999,50,53,35,False,0.368367,,0.0805061,,-0.110636,,0.0888148
137,271.0,300.999,139.999,50,53,35,False,0.368367,,0.0805061,,-0.110636,,0.0888148
137,320.999,300.999,139.999,50,53,35,False,0.368367,,0.0805061,,-0.110636,,0.0888148
11,271.0,301.0,0.0,50,53,35,False,-0.27024,,0.10015,,-0.682718,,1.1449
11,320.999,301.0,0.0,50,53,35,False,-0.27024,,0.10015,,-0.682718,,1.1449
11,271.0,353.999,0.0,50,53,35,False,-0.27024,,0.10015,,-0.682718,,1.1449
11,320.999,353.999,0.0,50,53,35,False,-0.27024,,0.10015,,-0.682718,,1.1449
11,271.0,301.0,34.998999999999995,50,53,35,False,-0.27024,,0.10015,,-0.682718,,1.1449
11,320.999,301.0,34.998999999999995,50,53,35,False,-0.27024,,0.10015,,-0.682718,,1.1449
11,271.0,353.999,34.998999999999995,50,53,35,False,-0.27024,,0.10015,,-0.682718,,1.1449
11,320.999,353.999,34.998999999999995,50,53,35,False,-0.27024,,0.10015,,-0.682718,,1.1449
56,271.0,301.0,35.0,50,53,35,False,0.627069,,0.164357,,1.02469,,0.226478
56,320.999,301.0,35.0,50,53,35,False,0.627069,,0.164357,,1.02469,,0.226478
56,271.0,353.999,35.0,50,53,35,False,0.627069,,0.164357,,1.02469,,0.226478
56,320.999,353.999,35.0,50,53,35,False,0.627069,,0.164357,,1.02469,,0.226478
56,271.0,301.0,69.999,50,53,35,False,0.627069,,0.164357,,1.02469,,0.226478
56,320.999,301.0,69.999,50,53,35,False,0.627069,,0.164357,,1.02469,,0.226478
56,271.0,353.999,69.999,50,53,35,False,0.627069,,0.164357,,1.02469,,0.226478
56,320.999,353.999,69.999,50,53,35,False,0.627069,,0.164357,,1.02469,,0.226478
101,271.0,301.0,70.0,50,53,35,False,0.641162,,-0.526169,,-0.685913,,0.0654903
101,320.999,301.0,70.0,50,53,35,False,0.641162,,-0.526169,,-0.685913,,0.0654903
101,271.0,353.999,70.0,50,53,35,False,0.641162,,-0.526169,,-0.685913,,0.0654903
101,320.999,353.999,70.0,50,53,35,False,0.641162,,-0.526169,,-0.685913,,0.0654903
101,271.0,301.0,104.999,50,53,35,False,0.641162,,-0.526169,,-0.685913,,0.0654903
101,320.999,301.0,104.999,50,53,35,False,0.641162,,-0.526169,,-0.685913,,0.0654903
101,271.0,353.999,104.999,50,53,35,False,0.641162,,-0.526169,,-0.685913,,0.0654903
101,320.999,353.999,104.999,50,53,35,False,0.641162,,-0.526169,,-0.685913,,0.0654903
146,271.0,301.0,105.0,50,53,35,False,-0.0588655,,-0.104651,,0.0,,0.881342
146,320.999,301.0,105.0,50,53,35,False,-0.0588655,,-0.104651,,0.0,,0.881342
146,271.0,353.999,105.0,50,53,35,False,-0.0588655,,-0.104651,,0.0,,0.881342
146,320.999,353.999,105.0,50,53,35,False,-0.0588655,,-0.104651,,0.0,,0.881342
146,271.0,301.0,139.999,50,53,35,False,-0.0588655,,-0.104651,,0.0,,0.881342
146,320.999,301.0,139.999,50,53,35,False,-0.0588655,,-0.104651,,0.0,,0.881342
146,271.0,353.999,139.999,50,53,35,False,-0.0588655,,-0.104651,,0.0,,0.881342
146,320.999,353.999,139.999,50,53,35,False,-0.0588655,,-0.104651,,0.0,,0.881342
20,271.0,354.0,0.0,50,53,35,False,0.785047,,-0.732937,,-0.0615545,,-0.600587
20,320.999,354.0,0.0,50,53,35,False,0.785047,,-0.732937,,-0.0615545,,-0.600587
20,271.0,406.999,0.0,50,53,35,False,0.785047,,-0.732937,,-0.0615545,,-0.600587
20,320.999,406.999,0.0,50,53,35,False,0.785047,,-0.732937,,-0.0615545,,-0.600587
20,271.0,354.0,34.998999999999995,50,53,35,False,0.785047,,-0.732937,,-0.0615545,,-0.600587
20,320.999,354.0,34.998999999999995,50,53,35,False,0.785047,,-0.732937,,-0.0615545,,-0.600587
20,271.0,406.999,34.998999999999995,50,53,35,False,0.785047,,-0.732937,,-0.0615545,,-0.600587
20,320.999,406.999,34.998999999999995,50,53,35,False,0.785047,,-0.732937,,-0.0615545,,-0.600587
65,271.0,354.0,35.0,50,53,35,False,0.7557,,-0.531019,,-0.0934469,,0.673573
65,320.999,354.0,35.0,50,53,35,False,0.7557,,-0.531019,,-0.0934469,,0.673573
65,271.0,406.999,35.0,50,53,35,False,0.7557,,-0.531019,,-0.0934469,,0.673573
65,320.999,406.999,35.0,50,53,35,False,0.7557,,-0.531019,,-0.0934469,,0.673573
65,271.0,354.0,69.999,50,53,35,False,0.7557,,-0.531019,,-0.0934469,,0.673573
65,320.999,354.0,69.999,50,53,35,False,0.7557,,-0.531019,,-0.0934469,,0.673573
65,271.0,406.999,69.999,50,53,35,False,0.7557,,-0.531019,,-0.0934469,,0.673573
65,320.999,406.999,69.999,50,53,35,False,0.7557,,-0.531019,,-0.0934469,,0.673573
110,271.0,354.0,70.0,50,53,35,False,0.609037,,-0.0897488,,0.559297,,0.379308
110,320.999,354.0,70.0,50,53,35,False,0.609037,,-0.0897488,,0.559297,,0.379308
110,271.0,406.999,70.0,50,53,35,False,0.609037,,-0.0897488,,0.559297,,0.379308
110,320.999,406.999,70.0,50,53,35,False,0.609037,,-0.0897488,,0.559297,,0.379308
110,271.0,354.0,104.999,50,53,35,False,0.609037,,-0.0897488,,0.559297,,0.379308
110,320.999,354.0,104.999,50,53,35,False,0.609037,,-0.0897488,,0.559297,,0.379308
110,271.0,406.999,104.999,50,53,35,False,0.609037,,-0.0897488,,0.559297,,0.379308
110,320.999,406.999,104.999,50,53,35,False,0.609037,,-0.0897488,,0.559297,,0.379308
155,271.0,354.0,105.0,50,53,35,False,0.71531,,-0.214988,,-1.04515,,0.262272
155,320.999,354.0,105.0,50,53,35,False,0.71531,,-0.214988,,-1.04515,,0.262272
155,271.0,406.999,105.0,50,53,35,False,0.71531,,-0.214988,,-1.04515,,0.262272
155,320.999,406.999,105.0,50,53,35,False,0.71531,,-0.214988,,-1.04515,,0.262272
155,271.0,354.0,139.999,50,53,35,False,0.71531,,-0.214988,,-1.04515,,0.262272
155,320.999,354.0,139.999,50,53,35,False,0.71531,,-0.214988,,-1.04515,,0.262272
155,271.0,406.999,139.999,50,53,35,False,0.71531,,-0.214988,,-1.04515,,0.262272
155,320.999,406.999,139.999,50,53,35,False,0.71531,,-0.214988,,-1.04515,,0.262272
29,271.0,407.0,0.0,50,53,35,False,0.80502,,0.294094,,0.0703448,,0.515803
29,320.999,407.0,0.0,50,53,35,False,0.80502,,0.294094,,0.0703448,,0.515803
29,271.0,459.999,0.0,50,53,35,False,0.80502,,0.294094,,0.0703448,,0.515803
29,320.999,459.999,0.0,50,53,35,False,0.80502,,0.294094,,0.0703448,,0.515803
29,271.0,407.0,34.998999999999995,50,53,35,False,0.80502,,0.294094,,0.0703448,,0.515803
29,320.999,407.0,34.998999999999995,50,53,35,False,0.80502,,0.294094,,0.0703448,,0.515803
29,271.0,459.999,34.998999999999995,50,53,35,False,0.80502,,0.294094,,0.0703448,,0.515803
29,320.999,459.999,34.998999999999995,50,53,35,False,0.80502,,0.294094,,0.0703448,,0.515803
74,271.0,407.0,35.0,50,53,35,False,-0.0377519,,-1.07872,,1.41802,,0.352792
74,320.999,407.0,35.0,50,53,35,False,-0.0377519,,-1.07872,,1.41802,,0.352792
74,271.0,459.999,35.0,50,53,35,False,-0.0377519,,-1.07872,,1.41802,,0.352792
74,320.999,459.999,35.0,50,53,35,False,-0.0377519,,-1.07872,,1.41802,,0.352792
74,271.0,407.0,69.999,50,53,35,False,-0.0377519,,-1.07872,,1.41802,,0.352792
74,320.999,407.0,69.999,50,53,35,False,-0.0377519,,-1.07872,,1.41802,,0.352792
74,271.0,459.999,69.999,50,53,35,False,-0.0377519,,-1.07872,,1.41802,,0.352792
74,320.999,459.999,69.999,50,53,35,False,-0.0377519,,-1.07872,,1.41802,,0.352792
119,271.0,407.0,70.0,50,53,35,False,0.0857519,,0.215618,,0.352535,,0.41564
119,320.999,407.0,70.0,50,53,35,False,0.0857519,,0.215618,,0.352535,,0.41564
119,271.0,459.999,70.0,50,53,35,False,0.0857519,,0.215618,,0.352535,,0.41564
119,320.999,459.999,70.0,50,53,35,False,0.0857519,,0.215618,,0.352535,,0.41564
119,271.0,407.0,104.999,50,53,35,False,0.0857519,,0.215618,,0.352535,,0.41564
